,index,PRBUsageUL,PRBUsageDL,meanThr_DL,meanThr_UL,maxThr_DL,maxThr_UL,meanUE_DL,meanUE_UL,median_maxUE_DL,median_maxUE_UL,median_maxUE_UL+DL,if_scores,target,y_preds_elliptic_env,y_preds_isolation_forest,DBSCAN_cluster,y_preds_lof,y_preds_ocsvm,y_preds_DBSCAN,PC_0,PC_1,PC_2,anomaly
0,32305,2.526,2.324,0.381,0.07200000000000001,10.141,2.34,1.374,0.01,7.0,3.0,10.0,-0.00574496131011587,1.0,1,-1,-1,1,1,-1,1.0883959506846281,-0.2940553978039635,-1.4025240048024494,outlier
1,18261,9.095,0.7070000000000001,0.131,0.025,10.435,0.504,1.112,1.021,4.0,3.0,7.0,0.05295913760334231,1.0,1,1,7,1,1,1,-1.4691637418670254,-0.8232967504475546,1.8784602138645017,inlier
2,10090,0.303,0.8079999999999999,0.033,0.011000000000000001,1.505,0.09300000000000001,1.041,0.01,3.0,2.0,5.0,0.0448095924917053,1.0,1,1,0,1,1,1,-2.332886166371999,0.2863292819349188,-0.9120006781655297,inlier
3,18808,1.791,0.498,0.049,0.012,5.109,0.221,1.005,1.005,3.0,2.0,5.0,0.04778261086609986,-1.0,1,1,1,1,1,1,-2.373104129452835,-0.11622380959187316,0.4236632516800388,inlier
4,18732,2.425,3.537,0.368,0.061,12.498,1.9380000000000002,1.324,0.01,7.0,3.0,10.0,0.00028101439545707985,1.0,1,1,-1,1,1,-1,0.6564851867628831,-0.6980577713401707,-1.6135244628544105,inlier
5,17369,10.05,1.294,0.331,0.046,17.367,1.81,1.124,1.025,4.0,3.0,7.0,0.05799750040728274,-1.0,1,1,-1,1,1,-1,-0.7227884999777954,-0.8130411718592945,0.09054907074040117,inlier
6,10987,0.606,1.415,0.134,0.025,4.736000000000001,0.371,1.1320000000000001,0.01,4.0,2.0,6.0,0.04445256957813842,1.0,1,1,-1,1,1,-1,-1.6530053633789723,0.0073512232477292785,-1.2747976088119548,inlier
7,25867,24.476999999999997,2.786,0.618,0.121,34.023,3.207,1.5019999999999998,1.3630000000000002,7.0,6.0,13.0,-0.03544201984018869,-1.0,1,-1,-1,1,1,-1,3.851875833839625,-2.0526449017426427,0.7765570016229546,outlier
8,9839,10.149,0.995,0.251,0.037000000000000005,12.209000000000001,0.51,1.124,1.015,4.0,3.0,7.0,0.06115210847802621,-1.0,1,1,7,1,1,1,-1.4687972733542207,-0.7522710223923987,1.7335985304510944,inlier
9,29764,3.781,0.8959999999999999,0.264,0.023,29.644000000000002,1.334,1.025,0.995,3.0,2.0,5.0,0.04228801526272741,-1.0,1,1,-1,1,1,-1,-1.5469107360918257,-0.06206939725913665,-0.1901313929811304,inlier
